Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,41150.000000,41450.000000,40700.000000,41450.000000,36884.953125,8491595
2019-01-17,41700.000000,42100.000000,41450.000000,41950.000000,37329.890625,11736903
2019-01-18,42000.000000,42400.000000,41950.000000,42300.000000,37641.335938,11029256
2019-01-21,42700.000000,42750.000000,41900.000000,42750.000000,38041.769531,11355701
2019-01-22,42750.000000,42850.000000,41850.000000,42150.000000,37507.867188,9964356
2019-01-23,41350.000000,42250.000000,41350.000000,42000.000000,37374.375000,11071079
2019-01-24,43050.000000,43100.000000,42350.000000,43050.000000,38308.734375,14747623
2019-01-25,44300.000000,44750.000000,43750.000000,44750.000000,39821.507813,22789395
2019-01-28,45000.000000,45500.000000,44600.000000,45050.000000,40088.472656,17998914
2019-01-29,45050.000000,45500.000000,44350.000000,45500.000000,40488.906250,16215017
2019-01-30,44800.000000,46400.000000,44800.000000,46400.000000,41289.792969,17505980
2019-01-31,46650.000000,47050.000000,46150.000000,46150.000000,41067.316406,21621145
2019-02-01,46650.000000,46950.000000,46250.000000,46350.000000,41245.289063,13832454
2019-02-07,46800.000000,47100.000000,46200.000000,46200.000000,41111.820313,15872001
2019-02-08,45700.000000,45700.000000,44650.000000,44800.000000,39865.996094,12689196
2019-02-11,44500.000000,45000.000000,44250.000000,45000.000000,40043.980469,11125044
2019-02-12,44650.000000,46250.000000,44650.000000,46050.000000,40978.339844,13184367
2019-02-13,46400.000000,46700.000000,46000.000000,46200.000000,41111.820313,11299738
2019-02-14,46600.000000,47500.000000,46150.000000,47500.000000,42268.636719,17259341
2019-02-15,46750.000000,46850.000000,45650.000000,46050.000000,40978.339844,10554643
2019-02-18,46500.000000,46850.000000,45850.000000,46200.000000,41111.820313,8183728
2019-02-19,45850.000000,46150.000000,45450.000000,45950.000000,40889.351563,6741395
2019-02-20,46750.000000,47100.000000,46500.000000,46900.000000,41734.726563,11506720
2019-02-21,46500.000000,47200.000000,46200.000000,46950.000000,41779.207031,8694009
2019-02-22,46500.000000,47150.000000,46450.000000,47150.000000,41957.183594,6895772
2019-02-25,47400.000000,47550.000000,47050.000000,47350.000000,42135.156250,7484716
2019-02-26,47350.000000,47450.000000,46500.000000,46750.000000,41601.242188,7985547
2019-02-27,47000.000000,47250.000000,46750.000000,46750.000000,41601.242188,8045211
2019-02-28,46400.000000,46500.000000,45100.000000,45100.000000,40132.953125,23569321
2019-03-04,46000.000000,46100.000000,44800.000000,44850.000000,39910.496094,12926539
2019-03-05,44600.000000,45100.000000,44150.000000,44250.000000,39376.578125,10612405
2019-03-06,44000.000000,44300.000000,43700.000000,44000.000000,39154.101563,10202544
2019-03-07,43400.000000,44950.000000,43400.000000,44450.000000,39554.546875,11049749
2019-03-08,44450.000000,44800.000000,43800.000000,43800.000000,38976.136719,7729069
2019-03-11,44400.000000,44450.000000,43650.000000,43650.000000,38842.656250,10717408
2019-03-12,44300.000000,44950.000000,44150.000000,44650.000000,39732.527344,11431977
2019-03-13,44250.000000,44450.000000,43700.000000,43850.000000,39020.625000,8108343
2019-03-14,43700.000000,44300.000000,43550.000000,43850.000000,39020.625000,18039161
2019-03-15,43800.000000,44250.000000,43700.000000,44200.000000,39332.078125,16814163
2019-03-18,43950.000000,44150.000000,43450.000000,43700.000000,38887.156250,8188876
2019-03-19,43750.000000,43900.000000,43550.000000,43900.000000,39065.125000,7609563
2019-03-20,43800.000000,44200.000000,43100.000000,44050.000000,39198.601563,9846242
2019-03-21,44600.000000,46250.000000,44050.000000,45850.000000,40800.355469,21138016
2019-03-22,46850.000000,47000.000000,46250.000000,46550.000000,41423.269531,12535911
2019-03-25,45300.000000,45650.000000,44800.000000,45500.000000,40488.906250,8699728
2019-03-26,45500.000000,45700.000000,44900.000000,45250.000000,40266.441406,9729811
2019-03-27,44750.000000,45600.000000,44250.000000,45350.000000,40355.425781,9568081
2019-03-28,44950.000000,45200.000000,44300.000000,44850.000000,40224.488281,6821306
2019-03-29,44500.000000,44900.000000,44200.000000,44650.000000,40045.117188,11491713
2019-04-01,45200.000000,45450.000000,44850.000000,45050.000000,40403.859375,7362129
2019-04-02,45550.000000,46100.000000,45350.000000,45750.000000,41031.660156,9480688
2019-04-03,46750.000000,46750.000000,45800.000000,46600.000000,41793.996094,12436570
2019-04-04,46150.000000,47100.000000,46150.000000,46950.000000,42107.894531,12650168
2019-04-05,46950.000000,47550.000000,46600.000000,46850.000000,42018.218750,8546339
2019-04-08,47250.000000,47250.000000,46150.000000,46650.000000,41838.851563,8507909
2019-04-09,46700.000000,46950.000000,46200.000000,46650.000000,41838.851563,6878761
2019-04-10,46400.000000,46700.000000,46050.000000,46700.000000,41883.687500,11883995
2019-04-11,46700.000000,46800.000000,46150.000000,46250.000000,41480.097656,13697399
2019-04-12,46050.000000,46900.000000,46000.000000,46850.000000,42018.218750,7668936
2019-04-15,47150.000000,47500.000000,47000.000000,47050.000000,42197.593750,8733019
2019-04-16,47400.000000,47400.000000,46800.000000,47250.000000,42376.968750,7730881
2019-04-17,47300.000000,47600.000000,47000.000000,47050.000000,42197.593750,5513658
2019-04-18,47200.000000,47250.000000,45500.000000,45600.000000,40897.132813,12808747
2019-04-19,45750.000000,46000.000000,45250.000000,45300.000000,40628.074219,8479710
2019-04-22,45400.000000,45900.000000,45100.000000,45350.000000,40672.914063,6006957
2019-04-23,45050.000000,45500.000000,45000.000000,45200.000000,40538.378906,6920566
2019-04-24,45400.000000,45650.000000,44150.000000,44750.000000,40134.792969,13299267
2019-04-25,44250.000000,45000.000000,44100.000000,44650.000000,40045.117188,10868965
2019-04-26,44200.000000,45000.000000,43800.000000,44850.000000,40224.488281,9739982
2019-04-29,45150.000000,46150.000000,45100.000000,46150.000000,41390.406250,8777517
2019-04-30,46000.000000,46300.000000,45350.000000,45850.000000,41121.347656,11121273
2019-05-02,45500.000000,46150.000000,45400.000000,45900.000000,41166.199219,8625126
2019-05-03,45900.000000,46050.000000,45300.000000,45300.000000,40628.074219,6562916
2019-05-07,45250.000000,45300.000000,44400.000000,44850.000000,40224.488281,12014907
2019-05-08,44300.000000,44850.000000,44200.000000,44250.000000,39686.367188,10398754
2019-05-09,43900.000000,44250.000000,42450.000000,42450.000000,38072.007813,23029718
2019-05-10,42600.000000,43450.000000,42450.000000,42900.000000,38475.593750,14579512
2019-05-13,42500.000000,43200.000000,42350.000000,42650.000000,38251.382813,7635079
2019-05-14,41300.000000,43100.000000,41300.000000,42650.000000,38251.382813,11563730
2019-05-15,42700.000000,43050.000000,42550.000000,42550.000000,38161.695313,7670185
2019-05-16,42350.000000,42400.000000,41350.000000,41550.000000,37264.828125,13687828
